"FIPS","MSANameFull","Population","City","State","geoLat","geoLng","Highway","x","y","nearFIPS0","nearDist0","nearFIPS1","nearDist1","nearFIPS2","nearDist2","nearFIPS3","nearDist3","nearFIPS4","nearDist4","nearDrive0","nearDrive1","nearDrive2","nearDrive3","nearDrive4"
"14460","Boston-Cambridge-Quincy, MA-NH","4591115","Boston","MA","42.3584308","-71.0597732","1090,95,3,89","0.92","0.208","35620","384622","37980","544520","47900","772385","99995","972392","19820","1418520","12878","18098","25465","29951","38574"
"33140","Michigan City-La Porte, IN","111357","Michigan City","IN","41.7075394","-86.8950297","1090,94,1096","0.62","0.28","99995","1012222","37980","1276548","47900","1294911","12060","1347698","35620","1376662","24868","37981","35266","37355","39931"
"44140","Springfield, MA","693211","Springfield","MA","42.1014831","-72.589811","1090,91","0.88","0.21","14460","160867","35620","241271","37980","401169","47900","629034","99995","811525","5348","8885","14105","21472","25465"
"45780","Toledo, OH","650269","Toledo","OH","41.6639383","-83.555212","1090,75","0.67","0.28","16980","417739","99995","690914","37980","955240","47900","973603","35620","1055354","13297","16533","28838","26123","30788"
"10580","Albany-Schenectady-Troy, NY","871473","Albany","NY","42.6525793","-73.7562317","1090,1087","0.85","0.21","35620","255892","37980","415790","47900","643655","99995","673258","16980","1439757","9124","13660","20955","21061","43697"
"45060","Syracuse, NY","662540","Syracuse","NY","43.0481221","-76.1474244","1090,1081","0.8","0.21","99995","434115","35620","495035","37980","581448","47900","599811","16980","1200614","13830","13985","14086","21210","36466"
"17460","Cleveland-Elyria-Mentor, OH","2068264","Cleveland","OH","41.4994954","-81.6954088","1090,1077","0.7","0.28","99995","487938","16980","620715","37980","752264","47900","770627","35620","852378","16669","18661","23708","20993","25658"
"21140","Elkhart-Goshen, IN","198950","Elkhart","IN","41.6819935","-85.9766671","1090,1069","0.63","0.28","16980","187624","99995","921029","37980","1185355","47900","1203718","35620","1285469","6690","23965","35530","32815","37480"
"99996","Montreal, Canada","3824221","Montreal","Canada","45.5","-73.5667","1087,89","0.848","0.14","14460","506887","35620","615422","37980","775320","47900","1003185","99995","1032788","17537","21166","25701","32997","18828"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","3318490","Minneapolis","MN","44.983334","-93.26667","1035,94","0.508","0.216","16980","752131","28140","1126323","19820","1243066","17140","1330529","17460","1372846","22877","22589","37442","38353","41012"
"41860","San Francisco-Oakland-Fremont, CA","4391017","San Francisco","CA","37.7749295","-122.4194155","101,80,580","0.01","0.31","31100","704006","40140","796162","41740","898635","38060","1315324","42660","1411686","19881","22714","26414","38408","43766"
