"c1fips","c1geoLat","c1geoLng","c2fips","c2geoLat","c2geoLng","Highway","drivetime","dist"
"19740","39.737567","-104.9847179","31740","39.1836082","-96.5716694","70","24915","797579"
"31740","39.1836082","-96.5716694","45820","39.0558235","-95.6890185","70","3357","91545"
"45820","39.0558235","-95.6890185","29940","38.9716689","-95.2352501","70","1877","44755"
"29940","38.9716689","-95.2352501","28140","39.0997265","-94.5785667","70","2410","64895"
"28140","39.0997265","-94.5785667","17860","38.9517053","-92.3340724","70","6665","201361"
"17860","38.9517053","-92.3340724","41180","38.6270025","-90.1994042","70","6760","200457"
"41180","38.6270025","-90.1994042","45460","39.4667034","-87.4139092","70","9647","271393"
"45460","39.4667034","-87.4139092","26900","39.768403","-86.158068","70","4912","124513"
"26900","39.768403","-86.158068","19380","39.7589478","-84.1916069","70","6716","187273"
"19380","39.7589478","-84.1916069","44220","39.9242266","-83.8088171","70","1949","42484"
"44220","39.9242266","-83.8088171","18140","39.9611755","-82.9987942","70","2938","71994"
"18140","39.9611755","-82.9987942","48540","40.0639616","-80.7209149","70","7168","204557"
"48540","40.0639616","-80.7209149","38300","40.4406248","-79.9958864","70","3601","95094"
"38300","40.4406248","-79.9958864","34060","39.629526","-79.9558968","70","4809","120505"
"34060","39.629526","-79.9558968","25180","39.6417629","-77.7199932","70","8255","233737"
"25180","39.6417629","-77.7199932","12580","39.2903848","-76.6121893","70","4495","121186"
"15180","25.9017472","-97.4974838","18580","27.8005828","-97.396381","69","8867","258554"
"33660","30.6943566","-88.0430541","33860","32.3668052","-86.2999689","65","8694","270761"
"33860","32.3668052","-86.2999689","13820","33.5206608","-86.80249","65","5092","149166"
"13820","33.5206608","-86.80249","19460","34.6059253","-86.9833417","65","4634","140970"
"19460","34.6059253","-86.9833417","8","34.627558","-86.901276","65","1204","23728"
"8","34.627558","-86.901276","34980","36.1666667","-86.7833333","65","5669","178678"
"41180","38.6270025","-90.1994042","9","38.169114","-87.469819","64","8775","260350"
"9","38.169114","-87.469819","31140","38.2526647","-85.7584557","64","5479","161468"
"31140","38.2526647","-85.7584557","30460","38.0405837","-84.5037164","64","4811","125262"
"30460","38.0405837","-84.5037164","26580","38.4192496","-82.445154","64","7291","202928"
"26580","38.4192496","-82.445154","16620","38.3498195","-81.6326234","64","3201","82742"
"16620","38.3498195","-81.6326234","16820","38.0293059","-78.4766781","64","13610","400598"
"16820","38.0293059","-78.4766781","40060","37.5407246","-77.4360481","64","4050","115721"
"40060","37.5407246","-77.4360481","47260","36.8529263","-75.977985","64","6309","172400"
"88885","20.6667","-103.3503","88884","22.6033","-100.4297","57","16778","420203"
"26380","29.5957696","-90.7195348","35380","29.9510658","-90.0715323","55","4046","92532"
"35380","29.9510658","-90.0715323","27140","32.2987573","-90.1848103","55","9872","299558"
"27140","32.2987573","-90.1848103","32820","35.1495343","-90.0489801","55","10876","337977"
"32820","35.1495343","-90.0489801","16020","37.3058839","-89.5181476","55","9213","277440"
"16020","37.3058839","-89.5181476","41180","38.6270025","-90.1994042","55","6462","185674"
"41180","38.6270025","-90.1994042","44100","39.7817213","-89.6501481","55","5614","155725"
"44100","39.7817213","-89.6501481","14060","40.4842027","-88.9936873","55","4290","115448"
"14060","40.4842027","-88.9936873","37900","40.6936488","-89.5889864","55","2780","63961"
"37900","40.6936488","-89.5889864","19340","41.5236437","-90.5776367","55","5854","157102"
"19340","41.5236437","-90.5776367","16980","41.8781136","-87.6297982","55","9978","281956"
"22900","35.3859242","-94.3985475","22220","36.0625795","-94.1574263","49","3552","92321"
"22220","36.0625795","-94.1574263","27900","37.0842271","-94.513281","49","5408","139452"
"26420","29.7601927","-95.3693896","19100","32.7801399","-96.8004511","45","12345","384771"
"36420","35.4675602","-97.5164276","46140","36.1539816","-95.992775","44","5962","174225"
"46140","36.1539816","-95.992775","27900","37.0842271","-94.513281","44","6375","182623"
"27900","37.0842271","-94.513281","44180","37.2089572","-93.2922989","44","4492","117381"
"44180","37.2089572","-93.2922989","41180","38.6270025","-90.1994042","44","11788","347224"
"33340","43.0389025","-87.9064736","22540","43.7730448","-88.4470508","41","4006","107739"
"22540","43.7730448","-88.4470508","36780","44.0247062","-88.5426136","41","1848","37990"
"36780","44.0247062","-88.5426136","11540","44.2619309","-88.4153847","41","1702","33040"
"11540","44.2619309","-88.4153847","24580","44.519159","-88.019826","41","2334","48276"
"31100","34.0522342","-118.2436849","29420","34.483901","-114.3224548","40","16222","480698"
"29420","34.483901","-114.3224548","22380","35.2013516","-111.639249","40","11322","337939"
"22380","35.2013516","-111.639249","10740","35.110703","-106.609991","40","16563","521651"
"10740","35.110703","-106.609991","11100","35.2219971","-101.8312969","40","14523","459300"
"11100","35.2219971","-101.8312969","36420","35.4675602","-97.5164276","40","13571","418436"
"36420","35.4675602","-97.5164276","22900","35.3859242","-94.3985475","40","9855","294873"
"22900","35.3859242","-94.3985475","30780","34.7464809","-92.2895948","40","8578","255291"
"30780","34.7464809","-92.2895948","32820","35.1495343","-90.0489801","40","7474","221192"
"32820","35.1495343","-90.0489801","27180","35.6145169","-88.8139469","40","5081","137347"
"27180","35.6145169","-88.8139469","34980","36.1666667","-86.7833333","40","7259","207853"
"34980","36.1666667","-86.7833333","28940","35.9606384","-83.9207392","40","9727","289175"
"28940","35.9606384","-83.9207392","11700","35.5950581","-82.5514869","40","6651","185806"
"11700","35.5950581","-82.5514869","25860","35.7331878","-81.3411974","40","4509","124546"
"25860","35.7331878","-81.3411974","49180","36.1039642","-80.254435","40","4261","114514"
"49180","36.1039642","-80.254435","24660","36.0726354","-79.7919754","40","2132","48904"
"24660","36.0726354","-79.7919754","15500","36.0956918","-79.4377991","40","1963","35726"
"15500","36.0956918","-79.4377991","20500","35.9940329","-78.898619","40","2389","57025"
"20500","35.9940329","-78.898619","39580","35.7795897","-78.6381787","40","1996","47180"
"40420","42.2711311","-89.0939952","27500","42.6827885","-89.0187222","39","2778","54521"
"27500","42.6827885","-89.0187222","31540","43.0730517","-89.4012302","39","3007","66992"
